Verkehrsstation	BST Code	BST ID	Produktnummer 2026	Anmerkung	Bundesland (inkl. Liechtenstein)
Stadl-Paura	Stp	2123	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich. Die voraussichtliche Übernahme der Betriebsführung durch die Lokalbahn Lambach-Vorchdorf-Eggenberg ist ca. im ersten Halbjahr 2027 geplant.	Oberösterreich
Stadt Haag	Spw H2	763	3.c		Niederösterreich
Stadt Rottenmann	Rms	1864	3.d		Steiermark
Stadt Waidhofen a.d.Ybbs	Wh  H1	2453	3.d		Niederösterreich
Stainach-Irdning	Rg	1842	3.c		Steiermark
Stams	Sts	2129	3.d		Tirol
Stans	Sns H1	962	3.d		Tirol
Statzendorf	Stf	2102	3.d		Niederösterreich
Steeg-Gosau	Stg	2104	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Stein a.d.Enns	Oeb H1	1608	3.d		Steiermark
Steinach in Tirol	Sti	2108	3.c		Tirol
Steinbachbrücke	Sbb	1946	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Steindorf am Ossiachersee	Sos	2050	3.d		Kärnten
Steindorf bei Straßwalchen	Nst	1575	3.c		Salzburg
Steinfeld im Drautal	Std	2100	3.d		Kärnten
Steinhaus	Sem H1	1985	3.d		Steiermark
Steinhaus bei Wels	Sth	2105	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Oberösterreich
Steinkogel	Law H2	1160	3.d		Oberösterreich
Steyr	Stb	2099	3.c		Oberösterreich
Steyr Münichholz	Sbw H1	1849	3.d		Oberösterreich
Steyregg	Sy	2182	3.d		Oberösterreich
Stiefern	Plk H2	2121	3.d		Niederösterreich
Stillfried	Ag  H1	16	3.d		Niederösterreich
Stockerau	Su	2140	3.c		Niederösterreich
Strasshof Haltestelle	Shf	2449	3.c		Niederösterreich
Straßwalchen	Stw	2139	3.d	Bestellung als Bedarfshalt iSd. § 121 EisbBBV gem. EisbSV nicht möglich 	Salzburg
Straßwalchen West	Nsw	4943254	3.d		Salzburg
Stübing	Pg  H1	1699	3.d		Steiermark
Studenzen-Fladnitz	Stu	2134	3.d		Steiermark
Suben	Ant H2	70	3.d		Oberösterreich
Sulz-Röthis	Rk  H1	1859	3.d		Vorarlberg
Summerau	Smr	2034	3.d		Oberösterreich
Takern-St.Margarethen	Tak	625	3.d		Steiermark
Tallesbrunn	Gae H2	551	3.d		Niederösterreich
